Produit,Laboratoire,Quantité,DDP,PPA,image_path,Famille,Conseils,Composition
DABUR MISWEK ORIGINAL 30+15G FREE C/144 DENTIFRICE , ,0,2028-09-01,90.0,,,,
SIMBEL INHALATEUR B/24, ,24,2028-09-01,69.79,,,,
GARDENE DOCTOR BAIN DE BOUCHE 250 ML PROTEGE LA GENCIVE (ROUGE) C/18, ,13,2028-09-01,179.2,,,,
ZEIN PHARMA FRUCHT-PLUS SELENIUM + Q10 BT 30 CPS ,ZEIN PHARMA,0,2028-09-01,0.0,,,,
LEADERMAX APHTES GEL BRULURES  T/15ML , ,0,2028-09-01,450.0,,,,
AVIZOR AQUASOFT SOLUTION LENTILLES GM 350ml,AUCUN,9,2028-09-01,1035.0,,,,
MAXI CHAZEN SHAMP BEBE TRES DOUX 250ML, ,9,2028-09-01,220.0,,,,
UPS PROSUITEX DENT JUNIOR MIEL ET PROPOLIS 6 ANS ET PLUS 50GR P/12 C/72 , ,0,2028-09-01,120.0,,,,
BK PHYTOSOFT THERMOL HUILE DE MASSAGE CHAUFFANTE 150ML C/30, ,24,2028-09-01,350.0,,,,
SPIC AKIPOUX LOTION ANTI POUX ET LENTES 200ML   .  ,AUCUN,0,2028-09-01,250.0,,,,
POULLOX LOTION ANTI POUX C/30 220ML,PHYTO SOFT,20,2028-09-01,220.0,,,,
POULLOX SHAMPOING ANTI POUX C/30  220ML  ,PHYTO SOFT,0,2028-09-01,220.0,,,,
SANEWTOL BAIN DE BOUCHE FL/225 ML ,NEW GALENICA Production,0,2028-09-01,345.0,,,,
A-DERMA EXOMEGA CONTROL 500ML, ,2,2028-10-01,3600.0,A_DERMA_EXOMEGA_CONTROL_500ML.png,,,
MUSTELA LINGETTE SENSETIVE (SKIN), ,12,2028-10-01,1270.0,,,,
MAGPHARM GENI KID SIROP MEMOIRE 100ML C/48, ,43,2028-10-01,450.0,,,,
BIONUTREX ZINC 30MG BISGLYCINATE B/30, ,34,2028-10-01,999.0,,,,
INALPHARM GESTA PLUS GROSSESSE ALLAITEMENT B/15 CAPS C/22,INALPHARM,8,2028-10-01,600.0,,,,
DUREX PRESERVATIF BT/3 -STRAWBERRY- EXTRA THIN (EXTRA-FIN) PACK/27.(FRAISE) .-ROUGE-, ,15,2028-10-01,389.4,,,,
DUREX PRESERVATIF BT/3 -CHOCOLATE- EXTRA THIN (EXTRA-FIN) PACK/27., ,15,2028-10-01,389.4,,,,
DUREX PRESERVATIF BT/3 -BUBBLE GUM- EXTRA THIN (EXTRA-FIN) PACK/27. -CHEWING GUM- (ROSE), ,14,2028-10-01,389.4,,,,
ELAPHARM ALCOOL CHIRURGICAL F/250ML C/24,ZZ,14,2028-10-01,143.0,,,,
SCI ZINC 20 MG BT/30 CP C/48, ,24,2028-10-01,1220.0,,,,
POLIDENT CREME FIXATIVE ORIGINAL -HALEON- (BLEU) 44GR, ,5,2028-10-01,1150.0,,,,
VENUS CREME DEPILATOIRE HUILE AMANDE DOUCE 100ML C/48, ,12,2028-10-01,113.32,,,,
MAGILIGHT SUCRE SACHET B/50, ,25,2028-10-01,93.0,,,,
COMPRESSE 7.5* 7.5 STERILE B/10 CL/114 (TECHNIPHARM)         ,AUCUN,0,2028-10-01,71.83,,,,
COMPRESSE STERILE 10*10CM B/10 CL/90 (TECHNIPHARM)    ,TECHNILAB,0,2028-10-01,93.53,,,,
SIGNAL  DENT INTEGRAL 8 GIROFLE SENSIBILITE  (CLOU DE GIRONFLE) 75ML C/24, ,22,2028-10-01,264.5,,,,
URIAGE EAU THERMALE REPARATRICE 300ML, ,4,2028-11-01,2550.0,URIAGE_EAU_THERMALE_REPARATRICE_300ML.png,,,
NUTRAXIN COMPLEXE MULTI-VITAMINE HOMME B/60 CP,NUTRAXIN ,3,2028-11-01,2400.0,,,,
BIONUTREX VITAMINE E 400UI B/30CP C/120, ,10,2028-11-01,759.0,,,,
SCI ARTHROFIT + CURCUMA COMP B30 ,SCI PHARM,0,2028-11-01,0.0,,,,
NUTRAXIN ZINC 15MG B/100 CP C/30, ,3,2028-11-01,1500.0,,,,
NUTRAXIN VITAMINE B 12  1000MG B/60 CP SUBLINGUAL C/30, ,3,2028-11-01,1200.0,,,,
GEB SUPLEMENTO VITAMINE C EN POUDRE 50 GR C/12, ,12,2028-11-01,540.0,,,,
SCI APETTI 4 B/30 PPA:890,SCI PHARM,5,2028-11-01,890.0,,,,
ELAPHARM EOSINE 2% 60ML, ,45,2028-11-01,37.44,,,,
XETION DORMIVIT MELATONINE 3MG B/30 C/60 PR SOMMEIL ,xetion,0,2028-11-01,733.92,,,,
XETION DORMIVIT 3MG MELATONINE  B/15 PR SOMMEIL ,xetion,0,2028-11-01,400.0,,,,
TECHNIPHARM COMPRESSE STERILE 5*5CM B/10 CL/120 ,TECHNILAB,0,2028-11-01,0.0,,,,
BIOPLUS BIOSEL SEL DE REHYDRATATION POUDRE GOUT FRAISE B/10 SACHETS V/48, ,67,2028-11-01,449.98,,,,
NUTRAXIN CHROMIUM PICOLINATE 200 MCG B/90 CP C/30, ,5,2028-11-01,1500.0,,,,
XETION DORMIVIT MELATONINE 3MG B/30 C/60 PR SOMMEIL ,xetion,0,2028-11-01,800.0,,,,
ALPHACARE NTC COLLAGEN CARE+ B/14 SACHETS C/35, ,3,2028-11-01,2590.0,,,,
BPN BERBERINE 500MG 30/GELS., ,3,2028-11-01,2000.0,,,,
GYNORELLE SOLUTION LAVANTE DOUCE 125ML C/25  ,INALPHARM,0,2028-11-01,507.0,,,,
UPS PROSUITEX DENT TRAITEMENT SENSIBILITE 100GR ROSE, ,12,2028-11-01,309.0,,,,
NUTRAXIN COMPLEXE MULTI-VITAMINE FEMME B/60 CP C/30, ,2,2028-11-01,2400.0,,,,
NOVAMEDICOS BICARBONATE DE SODIUM MULTI USAGE 100GR, ,8,2028-11-01,111.93,,,,
NOVAMEDICOS BICARBONATE DE SODIUM MULTI USAGE 100GR, ,0,2028-11-01,111.93,,,,
BIOPLUS BIOSEL SEL DE REHYDRATATION POUDRE GOUT BANANE B/10 SACHETS V/48, ,7,2028-11-01,450.0,,,,
CURELAB CURE VERRUE GEL FILMOGENE ,ZZ,0,2028-11-01,380.0,,,,
AVIZOR AQUASOFT SOLUTION LENTILLES PM 120ml,AUCUN,18,2028-11-01,782.0,,,,
INALPHARM DERMHYGIENE PAIN SRGRAS 100GR C/24, ,19,2028-11-01,360.0,,,,
SIGNAL DENT WHITE NOW GOLD EXTRA BRILLANCE 75ML C/24, ,17,2028-11-01,336.16,,,,
ELAPHARM EAU OXYGENEE 10V F/60ML C/30, ,30,2028-11-01,25.0,,,,
BPN MAGNESIUM BISGLYCINATE 500 MG B/40 GELLU,ZZ,1,2028-12-01,950.0,,,,
IMC BIOLYSE BIODOSE SERUM 10 ML BT/50 C/12,ZZ,24,2028-12-01,962.0,,,,
MEDICINO SEROMED SERUM PHYSIOLOGIQUE 500 ML C/14,ZZ,60,2028-12-01,104.0,,,,
EMAG MAGNISIUM 122G SOL BUV AMP 10ML,NEW GALENICA Production,2,2028-12-01,495.0,,,,
EMAG MAGNISIUM 122G SOL BUV AMP 10ML,NEW GALENICA Production,0,2028-12-01,495.0,,,,
HERBEZAL TISANE ORIGAN PF030, ,10,2028-12-01,67.93,,,,
MEDICINO SEROMED SERUM PHYSIOLOGIQUE 500 ML C/14,ZZ,0,2028-12-01,104.0,,,,
SPIC XETHOL GEL CHAUFFANT 100ML  C/24 .  ,AUCUN,0,2028-12-01,337.0,,,,
SIMBEL BAUME A LEVRE PARFUME HYDRATANT  PCK/24, ,48,2028-12-01,94.5,,,,
BETADERM SOL DERMIQUE 125ML 10%,GPA,5,2028-12-01,245.82,,,,
TISANE SANTE VIE GAZ COLON  SCHT B/15  C/16 (MAGPHARM), ,12,2028-12-01,435.0,,,,
DEVLOR COLLAGENE 1000+ BIOTINE B/30 C/37, ,2,2028-12-01,2850.95,,,,
SIMBEL EAU DE ROSE  SPRAY 200ML C/35, ,30,2028-12-01,102.99,,,,
CIC COMPRESSE STERILE STERIPAD 10*10  B/100 C/12,ZZ,12,2028-12-01,773.5,,,,
AKIPOUX TALC  100GR, ,15,2028-12-01,209.7,,,,
BIODERMA ATODERM HUIL DE DOUCHE 500ML, ,2,2029-01-01,2900.0,BIODERMA_ATODERM_HUIL_DE_DOUCHE_500ML.png,,,
LEADER LEADERMAX GEL REPARATEUR T/15ML POUR LES PLAIS BRULURES , ,0,2029-01-01,520.0,,,,
DERMILYNE RHINO BIO NEZ BOUCHE FLACON 40ML C/55, ,50,2029-01-01,520.0,,,,
SCI LES-NEUF B B/30 CAPS,SCI PHARM,3,2029-01-01,946.0,,,,
NUTRAXIN MAGNESIUM PLUS +(VIT;D3;K2;B6) -DAILY-, ,3,2029-01-01,1500.0,,,,
UPS PROSUITEX DENT TRAITEMENT ANTI-TARTRES (SILICOPOLISH) 100GR P/12 , ,0,2029-01-01,206.0,,,,
SPIC XETHOL ROLL ON pour les douleurs musculaires 75ml (PPA:288.50),AUCUN,14,2029-01-01,395.0,,,,
DERMASOUFRE SOLUTION VISAGE ET CORPS 240ML A/POMPE, ,8,2029-01-01,270.4,,,,
SPIC AKILEINE SPRAY DEO NOIR DEODORANT PIED ANTI TRANSPIRANT 150ML P/8 C/16 , ,0,2029-01-01,436.64,,,,
SPIC AKIPOUX SHAMPO ANTI POUX ET LENTES 200ML  .  ,AUCUN,0,2029-01-01,250.0,,,,
DERMILYNE MELASKARE CREME ESCARRES/PIEDS DIABETIQUE T/75GR C/65 ., ,9,2029-02-01,2500.0,,,,
BIONUTREX VITAMINE C + ZINC (300MG/15MG) 30 GELLULES C/50, ,20,2029-02-01,985.0,,,,
PRODERMA POLYDERMYL 50ML CREME EMOLLIENTE C/48 (PRODERMA )  ,PRODERMA,0,2029-02-01,299.0,,,,
VASELINE SALICYLEE 50% POT 40GR C/18, ,8,2029-02-01,133.12,,,,
BPN MELATONINE 2MG B/30 GELS, ,2,2029-02-01,1000.0,,,,
PRODERMA POLYDERMYL 200ML CREME EMOLLIENTE C/40 (PRODERMA ),PRODERMA,31,2029-02-01,650.0,,,,
ELAPHARM EAU OXYGENEE 10V FL/1 LITRE C/12, ,9,2029-02-01,155.0,,,,
DERMAVIE DERMAGYN IRRITATION GEL NETTOYANT INTIME LAVANDE 200ML C/25, ,15,2029-02-01,798.0,,,,
GANT EXAMEN LATEX (M)-EXAM GLOVE C/50, ,37,2029-02-01,185.85,,,,
GANT EXAMEN LATEX (L)-EXAM GLOVE C/50 , ,0,2029-02-01,185.85,,,,
DR ALTHEA PRO LAB 345RELIFE CREAM 50ML , ,0,2029-03-01,0.0,DR_ALTHEA_PRO_LAB_345RELIFE_CREAM_50ML.png,,,
TOUCHER VITAMINE C 11% 30ML BOOSTER DECLAT , ,0,2029-03-01,0.0,,,,
TOUCHER PACK POUSSE TOUCHER (SHAMPOING+APRES SHP), ,1,2029-04-01,3250.0,,,,
TOUCHER ACIDE SALICYLIQUE ULTRA PUR 2% 30ML, ,1,2029-04-01,1900.0,,,,
POT STERILES 60ML SAC/150 C/300, ,50,2029-04-01,10.0,,,,
MAGPHARM SANTE VIE TISANE VENTRE PLAT N°06 B/15 C/16 -MINCEUR-, ,6,2029-05-01,435.0,,,,
ACM HYFAC ECRANS PROT SOLAIR TEINTÉ SPF50+ 40ML, ,2,2029-06-01,1736.8,,,,
DI HIPOSOL LAIT BEBE 250ML C/12, ,7,2029-06-01,207.9,,,,
ACM CICATRYL BIO CREME T/15ML C/150, ,6,2029-09-01,350.6,,,,
ACM VAPORINE VICK GM 50GR BAUME CHAUFFANT AUX HUILES ESSENTIELLES P/20 C/320, ,10,2029-09-01,124.5,,,,
DI HIPOSOL SHP BEBE 250ML C/12, ,4,2029-09-01,177.45,,,,
PRODERMA PURIDERM SAVON MARSEILLE JAUNE 100GR C/50, ,35,2029-09-01,95.19,,,,
SOLYNE MAGNESIUM 300MG B/10 300MG  ,SOLYNE,0,2029-10-01,850.0,,,,
SOLYNE MAGNESIUM 300MG B/10 300MG  ,SOLYNE,0,2029-11-01,850.0,,,,
EXPERT ONE HUILE ANTI-POUX 60ML C/12, ,3,2029-11-01,550.0,,,,
DI HIPOSOL TALC PARFUM BEBE C/24 100G , ,0,2029-11-01,142.8,,,,
NITRAL PLUS CREME,DAMASCUS,9,2029-11-01,200.0,,,,
GBMB BANDE DE CREPE 4M*10CM C/150,zz,150,2029-11-01,45.17,,,,
LAX-SENA 15MG COMP B/14,BEKER LABORATOIRE,200,2029-11-01,298.85,,,,
LAX-SENA 15MG COMP B/14,BEKER LABORATOIRE,0,2029-11-01,298.85,,,,
ETUMAX ROYAL HONEY B/12 T/20G, ,1,2029-12-01,4950.0,,,,
